cell cycle
1CDX3_13 mid_S
1CDX3_14 mid_S
1CDX3_15 mid_S
1CDX3_16 mid_S
1CDX3_17 mid_S
1CDX3_21 mid_S
1CDX3_22 mid_S
1CDX3_23 mid_S
1CDX3_24 mid_S
1CDX3_25 mid_S
1CDX3_27 mid_S
1CDX3_31 mid_S
1CDX3_32 mid_S
1CDX3_33 mid_S
1CDX3_34 mid_S
1CDX3_35 mid_S
1CDX3_36 mid_S
1CDX3_42 mid_S
1CDX3_43 mid_S
1CDX3_46 mid_S
1CDX3_47 mid_S
1CDX3_51 mid_S
1CDX3_52 mid_S
1CDX3_53 mid_S
1CDX3_54 mid_S
1CDX3_55 mid_S
1CDX3_56 mid_S
1CDX3_57 mid_S
1CDX3_61 mid_S
1CDX3_62 mid_S
1CDX3_64 mid_S
1CDX3_65 mid_S
1CDX3_66 mid_S
1CDX3_67 mid_S
1CDX3_68 mid_S
1CDX3_72 mid_S
1CDX3_73 mid_S
1CDX3_74 mid_S
1CDX3_75 mid_S
1CDX3_76 mid_S
1CDX3_81 mid_S
1CDX3_82 mid_S
1CDX3_83 mid_S
1CDX3_85 mid_S
1CDX3_86 mid_S
1CDX3_87 mid_S
1CDX3_91 mid_S
1CDX3_92 mid_S
1CDX3_93 mid_S
1CDX3_94 mid_S
1CDX3_95 mid_S
1CDX3_96 mid_S
1CDX3_97 mid_S
1CDX3_102 mid_S
1CDX3_103 mid_S
1CDX3_104 mid_S
1CDX3_105 mid_S
1CDX3_106 mid_S
1CDX3_107 mid_S
1CDX3_108 mid_S
1CDX3_111 mid_S
1CDX3_112 mid_S
1CDX3_113 mid_S
1CDX3_114 mid_S
1CDX3_115 mid_S
1CDX3_117 mid_S
1CDX3_121 mid_S
1CDX3_122 mid_S
1CDX3_123 mid_S
1CDX3_124 mid_S
1CDX3_125 mid_S
1CDX3_126 mid_S
1CDX3_127 mid_S
1CDX3_128 mid_S
1CDX3_131 mid_S
1CDX3_132 mid_S
1CDX3_133 mid_S
1CDX3_134 mid_S
1CDX3_135 mid_S
1CDX3_136 mid_S
1CDX3_137 mid_S
1CDX3_138 mid_S
1CDX3_141 mid_S
1CDX3_142 mid_S
1CDX3_143 mid_S
1CDX3_144 mid_S
1CDX3_145 mid_S
1CDX3_146 mid_S
1CDX3_147 mid_S
1CDX3_151 mid_S
1CDX3_152 mid_S
1CDX3_153 mid_S
1CDX3_154 mid_S
1CDX3_155 mid_S
1CDX3_156 mid_S
1CDX3_157 mid_S
1CDX3_158 mid_S
1CDX3_161 mid_S
1CDX3_163 mid_S
1CDX3_164 mid_S
1CDX3_165 mid_S
1CDX3_166 mid_S
1CDX3_168 mid_S
1CDX3_171 mid_S
1CDX3_172 mid_S
1CDX3_173 mid_S
1CDX3_174 mid_S
1CDX3_175 mid_S
1CDX3_176 mid_S
1CDX3_177 mid_S
1CDX3_181 mid_S
1CDX3_182 mid_S
1CDX3_183 mid_S
1CDX3_185 mid_S
1CDX3_186 mid_S
1CDX3_187 mid_S
1CDX3_188 mid_S
1CDX3_191 mid_S
1CDX3_192 mid_S
1CDX3_193 mid_S
1CDX3_194 mid_S
1CDX3_195 mid_S
1CDX3_196 mid_S
1CDX3_197 mid_S
1CDX3_201 mid_S
1CDX3_202 mid_S
1CDX3_203 mid_S
1CDX3_204 mid_S
1CDX3_205 mid_S
1CDX3_207 mid_S
1CDX3_211 mid_S
1CDX3_212 mid_S
1CDX3_213 mid_S
1CDX3_214 mid_S
1CDX3_215 mid_S
1CDX3_216 mid_S
1CDX3_217 mid_S
1CDX3_218 mid_S
1CDX3_221 mid_S
1CDX3_222 mid_S
1CDX3_223 mid_S
1CDX3_224 mid_S
1CDX3_226 mid_S
1CDX3_227 mid_S
1CDX3_232 mid_S
1CDX3_233 mid_S
1CDX3_234 mid_S
1CDX3_235 mid_S
1CDX3_236 mid_S
1CDX3_237 mid_S
1CDX3_242 mid_S
1CDX3_243 mid_S
1CDX3_244 mid_S
1CDX3_245 mid_S
1CDX3_246 mid_S
1CDX3_248 mid_S
1CDX3_251 mid_S
1CDX3_252 mid_S
1CDX3_253 mid_S
1CDX3_254 mid_S
1CDX3_255 mid_S
1CDX3_256 mid_S
1CDX3_257 mid_S
1CDX3_262 mid_S
1CDX3_263 mid_S
1CDX3_264 mid_S
1CDX3_265 mid_S
1CDX3_266 mid_S
1CDX3_267 mid_S
1CDX3_271 mid_S
1CDX3_272 mid_S
1CDX3_273 mid_S
1CDX3_274 mid_S
1CDX3_275 mid_S
1CDX3_276 mid_S
1CDX3_277 mid_S
1CDX3_282 mid_S
1CDX3_283 mid_S
1CDX3_284 mid_S
1CDX3_285 mid_S
1CDX3_287 mid_S
1CDX3_293 mid_S
1CDX3_294 mid_S
1CDX3_295 mid_S
1CDX3_296 mid_S
1CDX3_297 mid_S
1CDX3_301 mid_S
1CDX3_302 mid_S
1CDX3_303 mid_S
1CDX3_304 mid_S
1CDX3_305 mid_S
1CDX3_306 mid_S
1CDX3_307 mid_S
1CDX3_311 mid_S
1CDX3_312 mid_S
1CDX3_313 mid_S
1CDX3_314 mid_S
1CDX3_315 mid_S
1CDX3_316 mid_S
1CDX3_317 mid_S
1CDX3_322 mid_S
1CDX3_323 mid_S
1CDX3_324 mid_S
1CDX3_326 mid_S
1CDX3_327 mid_S
1CDX3_332 mid_S
1CDX3_333 mid_S
1CDX3_334 mid_S
1CDX3_335 mid_S
1CDX3_337 mid_S
1CDX3_342 mid_S
1CDX3_343 mid_S
1CDX3_344 mid_S
1CDX3_345 mid_S
1CDX3_346 mid_S
1CDX3_347 mid_S
1CDX3_352 mid_S
1CDX3_353 mid_S
1CDX3_354 mid_S
1CDX3_355 mid_S
1CDX3_356 mid_S
1CDX3_357 mid_S
1CDX3_358 mid_S
1CDX3_362 mid_S
1CDX3_363 mid_S
1CDX3_364 mid_S
1CDX3_365 mid_S
1CDX3_366 mid_S
1CDX3_368 mid_S
1CDX3_372 mid_S
1CDX3_373 mid_S
1CDX3_382 mid_S
1CDX3_383 mid_S
1CDX3_384 mid_S
1CDX3_387 mid_S
1CDX3_392 mid_S
1CDX3_395 mid_S
1CDX3_406 mid_S
1CDX3_411 mid_S
1CDX3_412 mid_S
1CDX3_424 mid_S
1CDX3_426 mid_S
1CDX3_428 mid_S
1CDX3_437 mid_S
1CDX3_438 mid_S
1CDX3_443 mid_S
1CDX3_447 mid_S
1CDX3_452 mid_S
1CDX3_455 mid_S
1CDX3_466 mid_S
1CDX3_473 mid_S
1CDX3_475 mid_S
1CDX3_483 mid_S
1CDX3_484 mid_S
1CDX3_486 mid_S
1CDX4_11 late_S
1CDX4_12 late_S
1CDX4_13 late_S
1CDX4_14 late_S
1CDX4_15 late_S
1CDX4_16 late_S
1CDX4_17 late_S
1CDX4_22 late_S
1CDX4_23 late_S
1CDX4_24 late_S
1CDX4_25 late_S
1CDX4_26 late_S
1CDX4_27 late_S
1CDX4_31 late_S
1CDX4_32 late_S
1CDX4_33 late_S
1CDX4_34 late_S
1CDX4_35 late_S
1CDX4_36 late_S
1CDX4_37 late_S
1CDX4_38 late_S
1CDX4_41 late_S
1CDX4_42 late_S
1CDX4_43 late_S
1CDX4_45 late_S
1CDX4_46 late_S
1CDX4_47 late_S
1CDX4_48 late_S
1CDX4_51 late_S
1CDX4_52 late_S
1CDX4_53 late_S
1CDX4_54 late_S
1CDX4_55 late_S
1CDX4_57 late_S
1CDX4_61 late_S
1CDX4_62 late_S
1CDX4_63 late_S
1CDX4_64 late_S
1CDX4_65 late_S
1CDX4_66 late_S
1CDX4_67 late_S
1CDX4_71 late_S
1CDX4_72 late_S
1CDX4_73 late_S
1CDX4_74 late_S
1CDX4_75 late_S
1CDX4_76 late_S
1CDX4_77 late_S
1CDX4_81 late_S
1CDX4_82 late_S
1CDX4_83 late_S
1CDX4_84 late_S
1CDX4_85 late_S
1CDX4_86 late_S
1CDX4_87 late_S
1CDX4_91 late_S
1CDX4_92 late_S
1CDX4_93 late_S
1CDX4_94 late_S
1CDX4_95 late_S
1CDX4_97 late_S
1CDX4_101 late_S
1CDX4_102 late_S
1CDX4_103 late_S
1CDX4_104 late_S
1CDX4_105 late_S
1CDX4_106 late_S
1CDX4_107 late_S
1CDX4_111 late_S
1CDX4_113 late_S
1CDX4_114 late_S
1CDX4_115 late_S
1CDX4_116 late_S
1CDX4_117 late_S
1CDX4_121 late_S
1CDX4_124 late_S
1CDX4_125 late_S
1CDX4_126 late_S
1CDX4_127 late_S
1CDX4_132 late_S
1CDX4_133 late_S
1CDX4_134 late_S
1CDX4_135 late_S
1CDX4_136 late_S
1CDX4_137 late_S
1CDX4_142 late_S
1CDX4_143 late_S
1CDX4_144 late_S
1CDX4_145 late_S
1CDX4_146 late_S
1CDX4_147 late_S
1CDX4_148 late_S
1CDX4_151 late_S
1CDX4_152 late_S
1CDX4_153 late_S
1CDX4_154 late_S
1CDX4_155 late_S
1CDX4_156 late_S
1CDX4_157 late_S
1CDX4_158 late_S
1CDX4_161 late_S
1CDX4_162 late_S
1CDX4_163 late_S
1CDX4_164 late_S
1CDX4_165 late_S
1CDX4_166 late_S
1CDX4_167 late_S
1CDX4_171 late_S
1CDX4_172 late_S
1CDX4_173 late_S
1CDX4_174 late_S
1CDX4_175 late_S
1CDX4_176 late_S
1CDX4_177 late_S
1CDX4_178 late_S
1CDX4_181 late_S
1CDX4_182 late_S
1CDX4_183 late_S
1CDX4_185 late_S
1CDX4_186 late_S
1CDX4_187 late_S
1CDX4_191 late_S
1CDX4_192 late_S
1CDX4_193 late_S
1CDX4_194 late_S
1CDX4_195 late_S
1CDX4_197 late_S
1CDX4_201 late_S
1CDX4_202 late_S
1CDX4_203 late_S
1CDX4_204 late_S
1CDX4_205 late_S
1CDX4_206 late_S
1CDX4_207 late_S
1CDX4_212 late_S
1CDX4_214 late_S
1CDX4_216 late_S
1CDX4_217 late_S
1CDX4_221 late_S
1CDX4_222 late_S
1CDX4_223 late_S
1CDX4_224 late_S
1CDX4_225 late_S
1CDX4_226 late_S
1CDX4_232 late_S
1CDX4_233 late_S
1CDX4_234 late_S
1CDX4_235 late_S
1CDX4_236 late_S
1CDX4_237 late_S
1CDX4_241 late_S
1CDX4_242 late_S
1CDX4_243 late_S
1CDX4_244 late_S
1CDX4_245 late_S
1CDX4_246 late_S
1CDX4_247 late_S
1CDX4_248 late_S
1CDX4_251 late_S
1CDX4_252 late_S
1CDX4_253 late_S
1CDX4_254 late_S
1CDX4_255 late_S
1CDX4_256 late_S
1CDX4_257 late_S
1CDX4_258 late_S
1CDX4_261 late_S
1CDX4_262 late_S
1CDX4_263 late_S
1CDX4_264 late_S
1CDX4_265 late_S
1CDX4_266 late_S
1CDX4_267 late_S
1CDX4_268 late_S
1CDX4_272 late_S
1CDX4_273 late_S
1CDX4_274 late_S
1CDX4_275 late_S
1CDX4_276 late_S
1CDX4_277 late_S
1CDX4_278 late_S
1CDX4_281 late_S
1CDX4_282 late_S
1CDX4_283 late_S
1CDX4_284 late_S
1CDX4_285 late_S
1CDX4_286 late_S
1CDX4_287 late_S
1CDX4_291 late_S
1CDX4_292 late_S
1CDX4_293 late_S
1CDX4_294 late_S
1CDX4_295 late_S
1CDX4_296 late_S
1CDX4_297 late_S
1CDX4_301 late_S
1CDX4_302 late_S
1CDX4_303 late_S
1CDX4_304 late_S
1CDX4_305 late_S
1CDX4_307 late_S
1CDX4_311 late_S
1CDX4_312 late_S
1CDX4_313 late_S
1CDX4_314 late_S
1CDX4_315 late_S
1CDX4_316 late_S
1CDX4_317 late_S
1CDX4_321 late_S
1CDX4_323 late_S
1CDX4_324 late_S
1CDX4_325 late_S
1CDX4_326 late_S
1CDX4_327 late_S
1CDX4_332 late_S
1CDX4_333 late_S
1CDX4_334 late_S
1CDX4_335 late_S
1CDX4_336 late_S
1CDX4_337 late_S
1CDX4_341 late_S
1CDX4_342 late_S
1CDX4_343 late_S
1CDX4_344 late_S
1CDX4_345 late_S
1CDX4_346 late_S
1CDX4_347 late_S
1CDX4_348 late_S
1CDX4_352 late_S
1CDX4_353 late_S
1CDX4_354 late_S
1CDX4_355 late_S
1CDX4_356 late_S
1CDX4_357 late_S
1CDX4_363 late_S
1CDX4_364 late_S
1CDX4_365 late_S
1CDX4_366 late_S
1CDX4_367 late_S
1CDX4_371 late_S
1CDX4_372 late_S
1CDX4_373 late_S
1CDX4_374 late_S
1CDX4_375 late_S
1CDX4_376 late_S
1CDX4_377 late_S
1CDX4_381 late_S
1CDX4_382 late_S
1CDX4_383 late_S
1CDX4_384 late_S
1CDX4_385 late_S
1CDX4_386 late_S
1CDX4_387 late_S
1CDX4_391 late_S
1CDX4_392 late_S
1CDX4_393 late_S
1CDX4_394 late_S
1CDX4_396 late_S
1CDX4_397 late_S
1CDX4_403 late_S
1CDX4_404 late_S
1CDX4_405 late_S
1CDX4_406 late_S
1CDX4_407 late_S
1CDX4_411 late_S
1CDX4_412 late_S
1CDX4_413 late_S
1CDX4_414 late_S
1CDX4_415 late_S
1CDX4_416 late_S
1CDX4_417 late_S
1CDX4_418 late_S
1CDX4_421 late_S
1CDX4_422 late_S
1CDX4_423 late_S
1CDX4_424 late_S
1CDX4_425 late_S
1CDX4_426 late_S
1CDX4_428 late_S
1CDX4_431 late_S
1CDX4_432 late_S
1CDX4_433 late_S
1CDX4_434 late_S
1CDX4_435 late_S
1CDX4_436 late_S
1CDX4_437 late_S
1CDX4_438 late_S
1CDX4_441 late_S
1CDX4_442 late_S
1CDX4_443 late_S
1CDX4_444 late_S
1CDX4_446 late_S
1CDX4_447 late_S
1CDX4_448 late_S
1CDX4_452 late_S
1CDX4_453 late_S
1CDX4_454 late_S
1CDX4_455 late_S
1CDX4_456 late_S
1CDX4_457 late_S
1CDX4_458 late_S
1CDX4_462 late_S
1CDX4_463 late_S
1CDX4_464 late_S
1CDX4_465 late_S
1CDX4_466 late_S
1CDX4_467 late_S
1CDX4_468 late_S
1CDX4_472 late_S
1CDX4_473 late_S
1CDX4_474 late_S
1CDX4_475 late_S
1CDX4_476 late_S
1CDX4_477 late_S
1CDX4_482 late_S
1CDX4_483 late_S
