Cellname	Cellcycle
GasaE751248	G1
GasaE751249	Late-S/G2
GasaE751250	Late-S/G2
GasaE751251	Mid-S
GasaE751252	Late-S/G2
GasaE751253	G1
GasaE751254	Mid-S
GasaE751255	Early-S
GasaE751256	Mid-S
GasaE751258	Late-S/G2
GasaE751259	Late-S/G2
GasaE751260	G1
GasaE751261	G1
GasaE751262	G1
GasaE751263	Early-S
GasaE751264	Mid-S
GasaE751265	Late-S/G2
GasaE751266	Mid-S
GasaE751267	Late-S/G2
GasaE751268	Early-S
GasaE751269	Late-S/G2
GasaE751270	Mid-S
GasaE751271	G1
GasaE751272	Late-S/G2
GasaE751273	Early-S
GasaE751274	Early-S
GasaE751275	Mid-S
GasaE751276	Early-S
GasaE751277	G1
GasaE751278	Mid-S
GasaE751279	Late-S/G2
GasaE751280	G1
GasaE751281	Mid-S
GasaE751282	Mid-S
GasaE751283	Mid-S
GasaE751284	Early-S
GasaE751287	G1
GasaE751288	Mid-S
GasaE751289	Mid-S
GasaE751290	Late-S/G2
GasaE751291	Mid-S
GasaE751292	Late-S/G2
GasaE751293	Late-S/G2
GasaE751294	Mid-S
GasaE751295	Late-S/G2
GasaE751296	Mid-S
GasaE751297	Mid-S
GasaE751298	Late-S/G2
GasaE751299	Mid-S
GasaE751300	Early-S
GasaE751301	G1
GasaE751302	G1
GasaE751303	Mid-S
GasaE751304	G1
GasaE751305	G1
GasaE751306	Late-S/G2
GasaE751307	Early-S
GasaE751308	Mid-S
GasaE751309	G1
GasaE751310	Late-S/G2
GasaE751311	Late-S/G2
GasaE751312	Mid-S
GasaE751313	Mid-S
GasaE751314	G1
GasaE751315	Mid-S
GasaE751316	Mid-S
GasaE751317	G1
GasaE751318	Late-S/G2
GasaE751319	Mid-S
GasaE751321	Late-S/G2
GasaE751322	Mid-S
GasaE751323	Late-S/G2
GasaE751324	Late-S/G2
GasaE751325	Mid-S
GasaE751326	G1
GasaE751327	Mid-S
GasaE751328	Mid-S
GasaE751329	Late-S/G2
GasaE751330	Mid-S
GasaE751331	G1
GasaE751332	Early-S
GasaE751333	Late-S/G2
GasaE751334	G1
GasaE751336	Late-S/G2
GasaE751337	Late-S/G2
GasaE751338	Late-S/G2
GasaE751339	Late-S/G2
GasaE751340	Late-S/G2
GasaE751341	G1
GasaE751342	Mid-S
GasaE751343	Late-S/G2
GasaE751344	G1
GasaE751345	G1
GasaE751346	G1
GasaE751347	Late-S/G2
GasaE751348	G1
GasaE751349	Late-S/G2
GasaE751351	Mid-S
GasaE751352	G1
GasaE751353	Mid-S
GasaE751354	Early-S
GasaE751355	Mid-S
GasaE751356	G1
GasaE751357	Late-S/G2
GasaE751358	Early-S
GasaE751359	Mid-S
GasaE751360	G1
GasaE751361	Late-S/G2
GasaE751362	Early-S
GasaE751363	Mid-S
GasaE751365	Late-S/G2
GasaE751366	Late-S/G2
GasaE751367	Late-S/G2
GasaE751368	Early-S
GasaE751369	Late-S/G2
GasaE751370	Early-S
GasaE751371	Late-S/G2
GasaE751372	Mid-S
GasaE751373	Mid-S
GasaE751374	Mid-S
GasaE751375	Mid-S
GasaE751376	G1
GasaE751377	G1
GasaE751378	Mid-S
GasaE751379	Late-S/G2
GasaE751380	Late-S/G2
GasaE751381	Mid-S
GasaE751382	G1
GasaE751383	Early-S
GasaE751384	G1
GasbE751009	Late-S/G2
GasbE751011	Late-S/G2
GasbE751012	Early-S
GasbE751013	G1
GasbE751014	Mid-S
GasbE751015	G1
GasbE751016	Mid-S
GasbE751017	G1
GasbE751018	G1
GasbE751019	Late-S/G2
GasbE751020	Late-S/G2
GasbE751021	Mid-S
GasbE751022	Early-S
GasbE751023	Early-S
GasbE751024	Early-S
GasbE751025	Mid-S
GasbE751026	Early-S
GasbE751027	Mid-S
GasbE751028	G1
GasbE751029	Late-S/G2
GasbE751030	Late-S/G2
GasbE751031	Late-S/G2
GasbE751032	Mid-S
GasbE751033	Late-S/G2
GasbE751034	Late-S/G2
GasbE751035	G1
GasbE751036	Late-S/G2
GasbE751037	G1
GasbE751038	Late-S/G2
GasbE751039	Late-S/G2
GasbE751040	G1
GasbE751041	Mid-S
GasbE751042	Late-S/G2
GasbE751043	G1
GasbE751044	Late-S/G2
GasbE751045	G1
GasbE751046	Early-S
GasbE751047	Late-S/G2
GasbE751048	Late-S/G2
GasbE751049	Mid-S
GasbE751050	Mid-S
GasbE751051	G1
GasbE751052	Late-S/G2
GasbE751053	G1
GasbE751054	Late-S/G2
GasbE751055	Late-S/G2
GasbE751056	Early-S
GasbE751057	Mid-S
GasbE751058	G1
GasbE751059	Mid-S
GasbE751060	Late-S/G2
GasbE751061	Late-S/G2
GasbE751062	Late-S/G2
GasbE751063	G1
GasbE751064	Late-S/G2
GasbE751065	Late-S/G2
GasbE751066	Late-S/G2
GasbE751067	Mid-S
GasbE751068	G1
GasbE751069	G1
GasbE751070	Late-S/G2
GasbE751071	Early-S
GasbE751072	Late-S/G2
GasbE751073	G1
GasbE751074	Mid-S
GasbE751075	Early-S
GasbE751076	G1
GasbE751077	G1
GasbE751078	Mid-S
GasbE751079	G1
GasbE751080	Mid-S
GasbE751081	G1
GasbE751082	Late-S/G2
GasbE751083	Mid-S
GasbE751084	G1
GasbE751085	Mid-S
GasbE751086	Early-S
GasbE751087	Late-S/G2
GasbE751088	Late-S/G2
GasbE751089	Mid-S
GasbE751090	Late-S/G2
GasbE751091	G1
GasbE751092	G1
GasbE751093	Mid-S
GasbE751094	Mid-S
GasbE751095	Early-S
GasbE751096	Mid-S
GasbE751097	Mid-S
GasbE751098	G1
GasbE751099	Late-S/G2
GasbE751100	Early-S
GasbE751101	Late-S/G2
GasbE751102	G1
GasbE751103	Early-S
GasbE751104	G1
GasbE751105	Early-S
GasbE751107	G1
GasbE751108	Late-S/G2
GasbE751109	Late-S/G2
GasbE751110	Mid-S
GasbE751111	G1
GasbE751112	Early-S
GasbE751113	Mid-S
GasbE751114	Late-S/G2
GasbE751115	G1
GasbE751116	Mid-S
GasbE751117	Mid-S
GasbE751118	Late-S/G2
GasbE751120	Late-S/G2
GasbE751121	Mid-S
GasbE751122	Early-S
GasbE751123	Mid-S
GasbE751124	Mid-S
GasbE751125	Mid-S
GasbE751126	Mid-S
GasbE751127	Mid-S
GasbE751128	Mid-S
GasbE751129	Mid-S
GasbE751130	Late-S/G2
GasbE751131	Mid-S
GasbE751132	Early-S
GasbE751133	G1
GasbE751134	Mid-S
GasbE751135	Late-S/G2
GasbE751136	G1
GasbE751137	Early-S
GasbE751138	Late-S/G2
GasbE751139	Mid-S
GasbE751140	Mid-S
GasbE751141	Mid-S
GasbE751142	Mid-S
GasbE751143	Late-S/G2
GasbE751144	G1
GasbE751145	G1
GasbE751146	Mid-S
GasbE751147	Mid-S
GasbE751148	Late-S/G2
GasbE751149	G1
GasbE751150	Early-S
GasbE751151	G1
GasbE751152	G1
GasbE751153	G1
GasbE751154	Late-S/G2
GasbE751155	Mid-S
GasbE751156	Mid-S
GasbE751158	Late-S/G2
GasbE751159	Early-S
GasbE751160	Mid-S
GasbE751161	Late-S/G2
GasbE751162	Early-S
GasbE751163	Early-S
GasbE751164	Mid-S
GasbE751165	Mid-S
GasbE751166	Late-S/G2
GasbE751167	Late-S/G2
GasbE751168	G1
GasbE751169	Mid-S
GasbE751170	Late-S/G2
GasbE751171	Late-S/G2
GasbE751172	Mid-S
GasbE751173	Late-S/G2
GasbE751174	Mid-S
GasbE751175	Late-S/G2
GasbE751176	Early-S
GasbE751178	G1
GasbE751179	G1
GasbE751180	Late-S/G2
GasbE751181	Mid-S
GasbE751182	G1
GasbE751183	Early-S
GasbE751184	Mid-S
GasbE751185	Mid-S
GasbE751186	Late-S/G2
GasbE751187	G1
GasbE751188	Mid-S
GasbE751189	Late-S/G2
GasbE751190	Early-S
GasbE751191	Late-S/G2
GasbE751192	G1
GasbE751193	Mid-S
GasbE751194	Late-S/G2
GasbE751195	Late-S/G2
GasbE751196	Late-S/G2
GasbE751197	Mid-S
GasbE751198	Mid-S
GasbE751199	Early-S
GasbE751200	Late-S/G2
GasbE751201	Mid-S
GasbE751202	Mid-S
GasbE751203	G1
GasbE751204	Late-S/G2
GasbE751205	Mid-S
GasbE751206	Late-S/G2
GasbE751207	Early-S
GasbE751208	Mid-S
GasbE751209	Mid-S
GasbE751210	Mid-S
GasbE751211	Late-S/G2
GasbE751212	Late-S/G2
GasbE751213	Mid-S
GasbE751214	Early-S
GasbE751215	Late-S/G2
GasbE751216	Mid-S
GasbE751217	G1
GasbE751218	G1
GasbE751219	G1
GasbE751220	Early-S
GasbE751221	Late-S/G2
GasbE751222	Mid-S
GasbE751223	G1
GasbE751224	Mid-S
GasbE751225	G1
GasbE751226	Late-S/G2
GasbE751227	Late-S/G2
GasbE751228	G1
GasbE751229	G1
GasbE751230	Mid-S
GasbE751231	Late-S/G2
GasbE751232	G1
GasbE751233	G1
GasbE751234	Late-S/G2
GasbE751235	Mid-S
GasbE751236	Late-S/G2
GasbE751237	Early-S
GasbE751239	Late-S/G2
GasbE751240	Early-S
GasbE751241	Late-S/G2
GasbE751242	Late-S/G2
GasbE751243	Mid-S
GasbE751244	G1
GasbE751245	Late-S/G2
GasbE751247	Mid-S
GasbE751248	Mid-S
GasbE751249	G1
GasbE751250	Early-S
GasbE751251	G1
GasbE751252	Late-S/G2
GasbE751253	Mid-S
GasbE751255	Mid-S
GasbE751256	Mid-S
GasbE751257	Early-S
GasbE751258	G1
GasbE751259	Late-S/G2
GasbE751260	Early-S
GasbE751261	Late-S/G2
GasbE751262	Mid-S
GasbE751263	Mid-S
GasbE751264	Late-S/G2
GasbE751265	Late-S/G2
GasbE751266	Late-S/G2
GasbE751267	Mid-S
GasbE751268	Late-S/G2
GasbE751269	Late-S/G2
GasbE751270	Late-S/G2
GasbE751271	Late-S/G2
GasbE751272	G1
GasbE751273	Late-S/G2
GasbE751274	Late-S/G2
GasbE751275	Mid-S
GasbE751276	G1
GasbE751277	Late-S/G2
GasbE751278	Mid-S
GasbE751279	Late-S/G2
GasbE751280	Early-S
GasbE751281	Early-S
GasbE751284	Mid-S
GasbE751285	G1
GasbE751286	Mid-S
GasbE751288	Early-S
GasbE751289	Late-S/G2
GasbE751290	Mid-S
GasbE751291	G1
GasbE751292	Late-S/G2
GasbE751293	Mid-S
GasbE751294	Late-S/G2
GasbE751295	Late-S/G2
GasbE751296	Late-S/G2
GasbE751297	Late-S/G2
GasbE751298	Late-S/G2
GasbE751299	G1
GasbE751300	G1
GasbE751301	Late-S/G2
GasbE751302	Mid-S
GasbE751303	Mid-S
GasbE751304	Late-S/G2
GasbE751305	G1
GasbE751306	G1
GasbE751307	Early-S
GasbE751308	Late-S/G2
GasbE751309	Late-S/G2
GasbE751310	Late-S/G2
GasbE751311	Mid-S
GasbE751312	Late-S/G2
GasbE751313	Early-S
GasbE751314	Mid-S
GasbE751315	Late-S/G2
GasbE751316	G1
GasbE751317	Mid-S
GasbE751318	Late-S/G2
GasbE751319	Late-S/G2
GasbE751320	Mid-S
GasbE751321	Early-S
GasbE751322	Early-S
GasbE751323	Mid-S
GasbE751324	Late-S/G2
GasbE751325	Late-S/G2
GasbE751326	Late-S/G2
GasbE751327	G1
GasbE751328	G1
GasbE751329	Mid-S
GasbE751330	Mid-S
GasbE751331	Early-S
GasbE751332	Late-S/G2
GasbE751333	Mid-S
GasbE751334	G1
GasbE751335	Late-S/G2
GasbE751337	G1
GasbE751338	Late-S/G2
GasbE751339	Mid-S
GasbE751340	Late-S/G2
GasbE751341	Mid-S
GasbE751342	Mid-S
GasbE751344	Late-S/G2
GasbE751345	Early-S
GasbE751346	Mid-S
GasbE751347	Mid-S
GasbE751348	Late-S/G2
GasbE751349	Late-S/G2
GasbE751350	Mid-S
GasbE751351	G1
GasbE751352	Early-S
GasbE751353	Late-S/G2
GasbE751354	Late-S/G2
GasbE751355	Mid-S
GasbE751356	Late-S/G2
GasbE751357	Late-S/G2
GasbE751358	Mid-S
GasbE751359	Mid-S
GasbE751360	Late-S/G2
GasbE751361	Late-S/G2
GasbE751362	G1
GasbE751363	Mid-S
GasbE751364	Late-S/G2
GasbE751365	Mid-S
GasbE751366	Mid-S
GasbE751367	Mid-S
GasbE751368	Late-S/G2
GasbE751369	Mid-S
GasbE751370	Late-S/G2
GasbE751371	Early-S
GasbE751372	Mid-S
GasbE751373	Early-S
GasbE751374	Mid-S
GasbE751375	G1
GasbE751376	Mid-S
GasbE751377	Mid-S
GasbE751378	Late-S/G2
GasbE751379	Late-S/G2
GasbE751380	Mid-S
GasbE751381	Early-S
GascE753001	Late-S/G2
GascE753002	G1
GascE753003	Mid-S
GascE753004	Early-S
GascE753005	G1
GascE753007	Mid-S
GascE753008	Mid-S
GascE753009	Mid-S
GascE753010	Early-S
GascE753011	Mid-S
GascE753012	Early-S
GascE753013	Late-S/G2
GascE753014	Mid-S
GascE753015	G1
GascE753016	Late-S/G2
GascE753017	Late-S/G2
GascE753018	Late-S/G2
GascE753019	Mid-S
GascE753020	Early-S
GascE753021	G1
GascE753022	Early-S
GascE753023	Early-S
GascE753024	Mid-S
GascE753025	Late-S/G2
GascE753026	Early-S
GascE753027	G1
GascE753028	Late-S/G2
GascE753029	Late-S/G2
GascE753030	Late-S/G2
GascE753031	Early-S
GascE753032	Late-S/G2
GascE753033	Late-S/G2
GascE753034	Late-S/G2
GascE753035	Late-S/G2
GascE753036	Late-S/G2
GascE753037	Early-S
GascE753039	Mid-S
GascE753040	Late-S/G2
GascE753041	Late-S/G2
GascE753042	Late-S/G2
GascE753043	Late-S/G2
GascE753044	Late-S/G2
GascE753045	Late-S/G2
GascE753046	Mid-S
GascE753047	Mid-S
GascE753048	G1
GascE753049	Early-S
GascE753050	Mid-S
GascE753051	Mid-S
GascE753052	G1
GascE753053	Late-S/G2
GascE753054	Mid-S
GascE753055	Late-S/G2
GascE753056	Mid-S
GascE753057	Late-S/G2
GascE753058	Late-S/G2
GascE753059	G1
GascE753060	Late-S/G2
GascE753061	G1
GascE753062	Late-S/G2
GascE753063	Mid-S
GascE753064	Late-S/G2
GascE753065	Late-S/G2
GascE753066	Late-S/G2
GascE753067	Mid-S
GascE753068	Late-S/G2
GascE753069	Late-S/G2
GascE753070	Late-S/G2
GascE753071	Mid-S
GascE753072	Mid-S
GascE753073	Mid-S
GascE753074	Mid-S
GascE753075	Mid-S
GascE753076	Mid-S
GascE753077	Mid-S
GascE753078	Late-S/G2
GascE753079	Mid-S
GascE753080	Mid-S
GascE753081	G1
GascE753082	Mid-S
GascE753083	G1
GascE753084	Mid-S
GascE753085	G1
GascE753086	G1
GascE753087	G1
GascE753088	Late-S/G2
GascE753089	Late-S/G2
GascE753090	Late-S/G2
GascE753091	Late-S/G2
GascE753092	Mid-S
GascE753093	Late-S/G2
GascE753094	Late-S/G2
GascE753095	Late-S/G2
GascE753096	Mid-S
GascE753097	Late-S/G2
GascE753098	Early-S
GascE753099	Mid-S
GascE753100	Mid-S
GascE753101	Late-S/G2
GascE753102	Early-S
GascE753103	Early-S
GascE753104	Late-S/G2
GascE753105	Early-S
GascE753106	Mid-S
GascE753107	Late-S/G2
GascE753108	Mid-S
GascE753109	G1
GascE753110	Late-S/G2
GascE753111	Mid-S
GascE753112	Mid-S
GascE753113	Mid-S
GascE753114	Late-S/G2
GascE753116	Mid-S
GascE753117	Early-S
GascE753118	Mid-S
GascE753119	Late-S/G2
GascE753120	G1
GascE753121	G1
GascE753122	Mid-S
GascE753123	G1
GascE753124	Late-S/G2
GascE753125	Mid-S
GascE753126	G1
GascE753127	Mid-S
GascE753128	G1
GascE753129	G1
GascE753130	Mid-S
GascE753131	Early-S
GascE753134	Mid-S
GascE753135	Mid-S
GascE753136	Late-S/G2
GascE753137	Early-S
GascE753138	G1
GascE753139	Mid-S
GascE753140	Late-S/G2
GascE753141	G1
GascE753142	Late-S/G2
GascE753144	Mid-S
GasdE701003	Late-S/G2
GasdE701004	Early-S
GasdE701005	Mid-S
GasdE701007	Late-S/G2
GasdE701008	Late-S/G2
GasdE701009	Late-S/G2
GasdE701010	Late-S/G2
GasdE701011	Late-S/G2
GasdE701012	Early-S
GasdE701013	Early-S
GasdE701014	G1
GasdE701015	G1
GasdE701016	Late-S/G2
GasdE701017	G1
GasdE701018	Mid-S
GasdE701019	G1
GasdE701020	Mid-S
GasdE701021	G1
GasdE701022	Mid-S
GasdE701023	Mid-S
GasdE701024	Mid-S
GasdE701025	Late-S/G2
GasdE701026	Early-S
GasdE701027	Late-S/G2
GasdE701028	Mid-S
GasdE701029	Mid-S
GasdE701030	Late-S/G2
GasdE701031	Mid-S
GasdE701032	Mid-S
GasdE701033	Late-S/G2
GasdE701034	Late-S/G2
GasdE701035	Mid-S
GasdE701036	Late-S/G2
GasdE701037	Late-S/G2
GasdE701038	Mid-S
GasdE701039	Late-S/G2
GasdE701040	Late-S/G2
GasdE701041	Early-S
GasdE701042	G1
GasdE701043	Mid-S
GasdE701044	Late-S/G2
GasdE701045	Late-S/G2
GasdE701046	Mid-S
GasdE701047	Mid-S
GasdE701048	Mid-S
GasdE701049	G1
GasdE701050	Mid-S
GasdE701051	Late-S/G2
GasdE701052	Late-S/G2
GasdE701053	Mid-S
GasdE701054	G1
GasdE701055	G1
GasdE701056	Mid-S
GasdE701057	Early-S
GasdE701058	Mid-S
GasdE701059	Early-S
GasdE701060	Mid-S
GasdE701061	Mid-S
GasdE701062	Late-S/G2
GasdE701063	Early-S
GasdE701064	Mid-S
GasdE701065	Mid-S
GasdE701066	Late-S/G2
GasdE701067	Mid-S
GasdE701068	Late-S/G2
GasdE701069	Late-S/G2
GasdE701070	Late-S/G2
GasdE701071	Late-S/G2
GasdE701072	Late-S/G2
GasdE701073	Late-S/G2
GasdE701074	Early-S
GasdE701075	Mid-S
GasdE701076	Early-S
GasdE701077	Late-S/G2
GasdE701078	Early-S
GasdE701079	Late-S/G2
GasdE701080	Mid-S
GasdE701081	Mid-S
GasdE701082	Mid-S
GasdE701083	Early-S
GasdE701084	Mid-S
GasdE701085	Mid-S
GasdE701086	Early-S
GasdE701087	Mid-S
GasdE701088	Mid-S
GasdE701089	Mid-S
GasdE701090	Mid-S
GasdE701091	Late-S/G2
GasdE701092	Late-S/G2
GasdE701093	Late-S/G2
GasdE701094	Late-S/G2
GasdE701095	Mid-S
GasdE701096	Early-S
GasdE701097	Late-S/G2
GasdE701098	Early-S
GasdE701099	Mid-S
GasdE701100	Late-S/G2
GasdE701101	Late-S/G2
GasdE701102	Late-S/G2
GasdE701103	Late-S/G2
GasdE701104	Mid-S
GasdE701105	Mid-S
GasdE701106	Early-S
GasdE701107	Mid-S
GasdE701109	Late-S/G2
GasdE701110	Late-S/G2
GasdE701111	G1
GasdE701112	Late-S/G2
GasdE701113	Late-S/G2
GasdE701114	Late-S/G2
GasdE701115	Early-S
GasdE701116	Late-S/G2
GasdE701117	Early-S
GasdE701118	Late-S/G2
GasdE701119	Late-S/G2
GasdE701120	Mid-S
GasdE701121	G1
GasdE701122	Late-S/G2
GasdE701123	Mid-S
GasdE701124	Late-S/G2
GasdE701125	Mid-S
GasdE701126	Mid-S
GasdE701127	Early-S
GasdE701128	Mid-S
GasdE701129	Late-S/G2
GasdE701130	Late-S/G2
GasdE701131	Late-S/G2
GasdE701132	Mid-S
GasdE701133	Mid-S
GasdE701134	Late-S/G2
GasdE701135	Mid-S
GasdE701136	Mid-S
GasdE701137	Early-S
GasdE701138	Mid-S
GasdE701139	Late-S/G2
GasdE701140	Late-S/G2
GasdE701141	Late-S/G2
GasdE701142	Late-S/G2
GasdE701143	Late-S/G2
GasdE701144	Late-S/G2
GasdE701145	Mid-S
GasdE701146	Mid-S
GasdE701147	Mid-S
GasdE701148	Late-S/G2
GasdE701149	Late-S/G2
GasdE701150	G1
GasdE701151	Late-S/G2
GasdE701152	Late-S/G2
GasdE701153	Late-S/G2
GasdE701154	Late-S/G2
GasdE701155	Late-S/G2
GasdE701156	Mid-S
GasdE701157	Mid-S
GasdE701158	Late-S/G2
GasdE701159	Late-S/G2
GasdE701160	Mid-S
GasdE701161	Late-S/G2
GasdE701162	Late-S/G2
GasdE701163	Late-S/G2
GasdE701164	Mid-S
GasdE701165	Mid-S
GasdE701166	Late-S/G2
GasdE701167	Late-S/G2
GasdE701168	Mid-S
GasdE701169	G1
GasdE701170	Late-S/G2
GasdE701171	G1
GasdE701174	Early-S
GasdE701175	G1
GasdE701176	G1
GasdE701177	Early-S
GasdE701178	Late-S/G2
GasdE701179	Late-S/G2
GasdE701180	Mid-S
GasdE701181	G1
GasdE701182	Late-S/G2
GasdE701183	G1
GasdE701184	Early-S
GasdE701185	Late-S/G2
GasdE701186	Late-S/G2
GasdE701187	Late-S/G2
GasdE701188	Mid-S
GasdE701189	Late-S/G2
GasdE701190	G1
GasdE701191	G1
GasdE701192	Late-S/G2
GasdE701193	Late-S/G2
GasdE701195	Late-S/G2
GasdE701196	G1
GasdE701197	Late-S/G2
GasdE701198	Late-S/G2
GasdE701199	Mid-S
GasdE701200	Late-S/G2
GasdE701201	Early-S
GasdE701202	Mid-S
GasdE701203	Late-S/G2
GasdE701204	Early-S
GasdE701205	Late-S/G2
GasdE701206	G1
GasdE701207	G1
GasdE701208	G1
GasdE701209	G1
GasdE701210	Early-S
GasdE701211	Mid-S
GasdE701213	Mid-S
GasdE701214	Late-S/G2
GasdE701215	Early-S
GasdE701216	Late-S/G2
GasdE701217	Late-S/G2
GasdE701218	Mid-S
GasdE701219	Late-S/G2
GasdE701220	G1
GasdE701221	G1
GasdE701222	G1
GasdE701223	Mid-S
GasdE701224	Late-S/G2
GasdE701225	Late-S/G2
GasdE701226	Late-S/G2
